#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g23727.t1      -          PF13519_full         -             0.0011   19.9   0.0    0.0019   19.1   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g37307.t1      -          PF13519_full         -             0.0025   18.8   0.0    0.0035   18.3   0.0   1.4   1   1   0   1   1   1   1 -
anno1.g16730.t1      -          PF13519_full         -             0.0025   18.7   0.0     0.028   15.3   0.0   2.1   1   1   1   2   2   2   1 -
anno1.g26351.t1      -          PF13519_full         -             0.0027   18.7   0.0    0.0069   17.3   0.0   1.7   1   0   0   1   1   1   1 -
anno1.g33171.t1      -          PF13519_full         -             0.0032   18.4   0.1    0.0056   17.6   0.0   1.4   1   1   0   1   1   1   1 -
anno1.g13273.t1      -          PF13519_full         -             0.0064   17.4   0.0    0.0079   17.1   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g33172.t1      -          PF13519_full         -             0.0081   17.1   0.0     0.015   16.2   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g9661.t1       -          PF13519_full         -             0.0088   17.0   0.0     0.012   16.5   0.0   1.4   1   1   0   1   1   1   1 -
anno1.g5885.t1       -          PF13519_full         -             0.0093   16.9   0.1       2.7    8.8   0.0   2.3   2   0   0   2   2   2   0 -
anno1.g9665.t1       -          PF13519_full         -             0.0099   16.8   0.0     0.016   16.1   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g9663.t1       -          PF13519_full         -               0.01   16.8   0.1     0.018   15.9   0.1   1.5   1   1   0   1   1   1   0 -
anno1.g24374.t1      -          PF13519_full         -              0.014   16.2   0.0     0.027   15.3   0.0   1.4   1   0   0   1   1   1   0 -
anno1.g2672.t1       -          PF13519_full         -              0.018   15.9   0.0     0.027   15.4   0.0   1.2   1   0   0   1   1   1   0 -
anno1.g24373.t1      -          PF13519_full         -              0.021   15.7   0.0     0.038   14.9   0.0   1.3   1   0   0   1   1   1   0 -
anno1.g13341.t1      -          PF13519_full         -              0.027   15.4   0.0      0.12   13.3   0.0   2.0   1   1   0   1   1   1   0 -
anno1.g31756.t1      -          PF13519_full         -               0.03   15.2   0.0     0.065   14.1   0.0   1.5   1   0   0   1   1   1   0 -
anno1.g25369.t1      -          PF13519_full         -              0.036   14.9   0.0     0.063   14.2   0.0   1.3   1   1   0   1   1   1   0 -
anno1.g7717.t1       -          PF13519_full         -              0.067   14.1   0.0     0.084   13.7   0.0   1.2   1   0   0   1   1   1   0 -
anno1.g35601.t1      -          PF13519_full         -               0.14   13.1   0.1      0.14   13.1   0.1   2.0   2   0   0   2   2   1   0 -
anno1.g9686.t1       -          PF13519_full         -               0.26   12.1   1.4      0.38   11.6   0.2   1.7   1   1   1   2   2   1   0 -
anno1.g1861.t1       -          PF13519_full         -               0.27   12.1   0.0      0.47   11.3   0.0   1.3   1   0   0   1   1   1   0 -
anno1.g14058.t1      -          PF13519_full         -               0.37   11.6   0.0      0.64   10.9   0.0   1.4   1   1   0   1   1   1   0 -
anno1.g27459.t1      -          PF13519_full         -               0.44   11.4   0.0      0.69   10.7   0.0   1.2   1   0   0   1   1   1   0 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      ../output/PF13519_full_profile.hmm
