#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g37603.t1      -          PF13519_full         -            0.00026   22.2   0.1    0.0003   22.0   0.1   1.1   1   0   0   1   1   1   1 -
anno1.g27654.t1      -          PF13519_full         -            0.00032   21.8   0.0   0.00061   21.0   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g9552.t1       -          PF13519_full         -            0.00037   21.7   0.0     0.017   16.2   0.0   2.2   2   0   0   2   2   2   1 -
anno1.g9761.t1       -          PF13519_full         -             0.0012   20.0   0.0    0.0021   19.2   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g11368.t1      -          PF13519_full         -             0.0013   19.9   0.0    0.0021   19.2   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g20832.t1      -          PF13519_full         -             0.0023   19.0   0.0    0.0061   17.7   0.0   1.7   2   0   0   2   2   1   1 -
anno1.g41464.t1      -          PF13519_full         -             0.0026   18.9   0.0    0.0079   17.3   0.0   1.7   2   0   0   2   2   1   1 -
anno1.g37707.t1      -          PF13519_full         -             0.0035   18.4   0.2     0.004   18.3   0.2   1.1   1   0   0   1   1   1   1 -
anno1.g13964.t1      -          PF13519_full         -             0.0073   17.4   0.0     0.014   16.5   0.0   1.5   1   0   0   1   1   1   1 -
anno1.g39931.t1      -          PF13519_full         -              0.011   16.8   0.0     0.013   16.6   0.0   1.1   1   0   0   1   1   1   0 -
anno1.g35397.t2      -          PF13519_full         -              0.018   16.1   0.0     0.029   15.4   0.0   1.2   1   0   0   1   1   1   0 -
anno1.g40568.t1      -          PF13519_full         -              0.029   15.4   0.0     0.042   14.9   0.0   1.2   1   0   0   1   1   1   0 -
anno1.g40738.t1      -          PF13519_full         -              0.041   15.0   0.0      0.11   13.5   0.0   1.7   2   0   0   2   2   1   0 -
anno1.g41287.t1      -          PF13519_full         -              0.043   14.9   1.0       5.1    8.1   0.3   2.6   3   0   0   3   3   2   0 -
anno1.g3272.t1       -          PF13519_full         -               0.18   12.9   0.0      0.34   11.9   0.0   1.4   1   0   0   1   1   1   0 -
anno1.g27296.t1      -          PF13519_full         -               0.27   12.3   0.0       0.5   11.4   0.0   1.4   1   1   1   2   2   2   0 -
