#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g31031.t1      -          PF00047_full         -            1.8e-28  100.3   3.0   3.9e-13   50.3   0.1   3.3   2   1   1   3   3   3   3 -
anno1.g6153.t1       -          PF00047_full         -            2.4e-28   99.9   0.1   3.4e-11   44.0   0.0   3.5   1   1   2   3   3   3   3 -
anno1.g20136.t2      -          PF00047_full         -            3.2e-28   99.5  15.1   4.3e-12   46.9   0.0   3.5   1   1   2   3   3   3   3 -
anno1.g7755.t1       -          PF00047_full         -              7e-28   98.4   8.7   1.5e-08   35.4   0.0   5.4   3   2   1   5   5   5   4 -
anno1.g3441.t1       -          PF00047_full         -            1.1e-27   97.7  29.4    0.0003   21.4   0.0  11.9   7   4   5  12  12  12   5 -
anno1.g31029.t1      -          PF00047_full         -            3.3e-27   96.2   0.3   6.6e-13   49.6   0.0   2.0   1   1   1   2   2   2   2 -
anno1.g11140.t2      -          PF00047_full         -            7.2e-27   95.1   2.4   2.8e-06   28.0   0.0   4.1   1   1   1   4   4   4   4 -
anno1.g9900.t2       -          PF00047_full         -            1.3e-26   94.3  18.5   2.2e-10   41.4   0.1   4.2   1   1   3   4   4   4   4 -
anno1.g15992.t1      -          PF00047_full         -            1.3e-26   94.2   0.0   3.7e-12   47.1   0.0   2.1   2   0   0   2   2   2   2 -
anno1.g27451.t2      -          PF00047_full         -            2.1e-26   93.6  15.8   7.5e-14   52.7   0.4   3.8   3   2   1   4   4   3   3 -
anno1.g20210.t1      -          PF00047_full         -            2.3e-26   93.5   7.7   2.1e-09   38.2   0.2   3.5   1   1   2   3   3   3   3 -
anno1.g23968.t1      -          PF00047_full         -            3.7e-26   92.8   1.2   1.5e-09   38.6   0.0   3.5   1   1   2   3   3   3   3 -
anno1.g15643.t1      -          PF00047_full         -            4.3e-26   92.5   6.4   1.3e-14   55.2   0.0   3.6   2   2   1   3   3   3   3 -
anno1.g25466.t1      -          PF00047_full         -            8.4e-26   91.6  29.9   5.4e-08   33.6   0.5   5.7   1   1   4   5   5   5   5 -
anno1.g9899.t1       -          PF00047_full         -            7.5e-25   88.5  14.2   5.1e-10   40.2   0.2   4.2   1   1   3   4   4   4   4 -
anno1.g10229.t1      -          PF00047_full         -            9.1e-25   88.2   0.7   2.9e-10   41.0   0.1   3.6   3   1   0   3   3   3   2 -
anno1.g10218.t1      -          PF00047_full         -            1.2e-24   87.8   4.0   3.7e-11   43.9   0.2   3.7   2   1   1   3   3   3   2 -
anno1.g27808.t1      -          PF00047_full         -            1.3e-24   87.7   1.4   3.6e-13   50.5   0.7   2.9   1   1   1   2   2   2   2 -
anno1.g29741.t1      -          PF00047_full         -            1.4e-24   87.6   2.2   9.1e-12   45.9   0.2   2.3   1   1   1   2   2   2   2 -
anno1.g23626.t1      -          PF00047_full         -            2.1e-24   87.1  25.8     2e-09   38.3   0.2   6.1   2   1   4   6   6   5   4 -
anno1.g29742.t1      -          PF00047_full         -            2.6e-24   86.8   0.0   3.5e-13   50.5   0.0   2.5   1   1   1   2   2   2   2 -
anno1.g25746.t1      -          PF00047_full         -            1.3e-23   84.5   2.6     5e-09   37.0   0.4   3.4   1   1   2   3   3   3   3 -
anno1.g7077.t1       -          PF00047_full         -            1.6e-23   84.2   8.6     1e-07   32.7   1.4   4.1   2   1   2   4   4   4   4 -
anno1.g18544.t2      -          PF00047_full         -            2.1e-23   83.8  10.8   2.4e-10   41.2   0.8   4.6   3   1   1   4   4   4   3 -
anno1.g30622.t1      -          PF00047_full         -            2.3e-23   83.7   0.1   3.3e-11   44.1   0.1   2.1   1   1   1   2   2   2   2 -
anno1.g23781.t1      -          PF00047_full         -            3.5e-23   83.1  13.5   4.4e-13   50.2   0.8   4.0   1   1   2   3   3   3   2 -
anno1.g7147.t2       -          PF00047_full         -            4.2e-23   82.8   3.2   1.5e-07   32.2   0.0   3.5   2   1   1   3   3   3   3 -
anno1.g31699.t1      -          PF00047_full         -              1e-22   81.5   2.3   2.3e-12   47.8   0.3   2.6   1   1   1   2   2   2   2 -
anno1.g14671.t1      -          PF00047_full         -            1.1e-22   81.5   2.2   2.7e-10   41.1   1.0   2.1   2   0   0   2   2   2   2 -
anno1.g6137.t2       -          PF00047_full         -            1.2e-22   81.3   8.8   3.1e-11   44.1   0.7   2.7   2   1   1   3   3   2   2 -
anno1.g12778.t1      -          PF00047_full         -            1.9e-22   80.7   8.3   2.7e-12   47.6   0.1   4.1   1   1   2   3   3   3   2 -
anno1.g15642.t1      -          PF00047_full         -            3.5e-22   79.8   9.4   9.5e-15   55.6   0.2   3.8   2   2   1   3   3   3   2 -
anno1.g14433.t1      -          PF00047_full         -            3.6e-22   79.8  16.3   5.5e-12   46.6   1.0   2.9   2   1   1   3   3   2   2 -
anno1.g12732.t1      -          PF00047_full         -            3.8e-22   79.7   0.0   3.2e-10   40.8   0.0   2.4   1   1   1   2   2   2   2 -
anno1.g15454.t1      -          PF00047_full         -            5.2e-22   79.3   3.4   2.8e-07   31.2   0.0   3.6   2   1   1   3   3   3   3 -
anno1.g24587.t1      -          PF00047_full         -            9.1e-22   78.5  27.1   1.3e-10   42.1   0.2   6.2   1   1   4   5   5   5   4 -
anno1.g27838.t1      -          PF00047_full         -            9.2e-22   78.5  11.8   5.2e-12   46.7   0.2   3.2   3   0   0   3   3   2   2 -
anno1.g4157.t1       -          PF00047_full         -            1.8e-21   77.5  10.4     3e-08   34.4   0.4   5.3   3   1   2   5   5   4   3 -
anno1.g24599.t1      -          PF00047_full         -            1.8e-21   77.5   8.2   7.6e-11   42.9   0.3   4.1   1   1   2   3   3   3   2 -
anno1.g1174.t1       -          PF00047_full         -            1.9e-21   77.4   1.4   1.7e-14   54.8   0.1   2.3   1   1   1   2   2   2   2 -
anno1.g9901.t1       -          PF00047_full         -            4.3e-21   76.3   4.7     4e-10   40.5   0.0   3.4   1   1   2   3   3   3   3 -
anno1.g7463.t1       -          PF00047_full         -            8.3e-21   75.3  12.0   4.3e-12   46.9   0.5   3.7   1   1   2   3   3   3   3 -
anno1.g16712.t1      -          PF00047_full         -            1.4e-20   74.6   5.9   1.6e-14   54.8   3.6   4.4   3   1   1   4   4   2   2 -
anno1.g22426.t2      -          PF00047_full         -            2.1e-20   74.0  12.5   1.5e-12   48.4   0.6   3.8   3   1   1   4   4   2   2 -
anno1.g27809.t1      -          PF00047_full         -            2.1e-20   74.0  12.7   2.7e-10   41.1   0.3   3.7   2   1   1   3   3   3   2 -
anno1.g12776.t1      -          PF00047_full         -            2.5e-20   73.8  12.6   2.5e-10   41.2   0.2   4.5   3   1   1   4   4   4   2 -
anno1.g28501.t1      -          PF00047_full         -            5.7e-20   72.6   0.0   3.6e-11   43.9   0.0   2.5   2   0   0   2   2   2   2 -
anno1.g1547.t1       -          PF00047_full         -            6.3e-20   72.5   0.0   5.5e-09   36.8   0.0   2.9   1   1   1   2   2   2   2 -
anno1.g30457.t1      -          PF00047_full         -            9.3e-20   71.9   4.9   1.9e-08   35.1   0.0   4.3   2   1   2   4   4   4   3 -
anno1.g31138.t1      -          PF00047_full         -            1.5e-19   71.2   0.8   4.3e-14   53.5   0.1   2.7   2   1   1   3   3   2   2 -
anno1.g22424.t1      -          PF00047_full         -            3.3e-19   70.1   0.1   5.7e-11   43.3   0.1   3.0   1   1   1   2   2   2   2 -
